"District","Coordination_n","PreventionControl_n","Surveillance_n","RiskCommunication_n","MentalHealth_n","ICTInnovation_n","WASH_n","Logistics_n","HumanResources_n","CaseManagement_n","Coordination","PreventionControl","Surveillance","CaseManagement","RiskCommunication","MentalHealth","ICTInnovation","WASH","Logistics","HumanResources"
"RUBANDA",2,3,4,4,1,3,2,4,3,2,"Conservation Through Public Health (CTPH) | World Health Organisation","Conservation Through Public Health (CTPH) | United States Agency for International Development | World Health Organisation","Conservation Through Public Health (CTPH) | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Conservation Through Public Health (CTPH) | Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Conservation Through Public Health (CTPH) | Farm Radio International","Conservation Through Public Health (CTPH) | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation"
"RUKIGA",1,2,3,3,1,3,1,3,3,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation"
"RUKUNGIRI",1,2,3,3,1,3,1,3,3,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation"
"ALEBTONG",2,3,3,3,2,3,2,3,2,3,"UNICEF | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","UNICEF | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF","UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation"
"AMOLATAR",2,3,3,4,2,3,2,3,2,3,"UNICEF | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Broederlijk Delen | Farm Radio International | UNICEF | World Health Organisation","UNICEF | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF","UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation"
"APAC",2,3,3,3,2,3,2,3,2,3,"UNICEF | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","UNICEF | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF","UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation"
"DOKOLO",3,3,3,4,3,4,3,4,2,3,"ChildFund International | UNICEF | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","ChildFund International | UNICEF | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF","ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation"
"KOLE",4,4,4,6,4,4,5,6,4,3,"ChildFund International | Food for the Hungry | UNICEF | World Health Organisation","Food for the Hungry | UNICEF | United States Agency for International Development | World Health Organisation","Food for the Hungry | Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Food for the Hungry | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Food for the Hungry | UNICEF | World Vision Uganda","ChildFund International | Food for the Hungry | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","Food for the Hungry | UNICEF | World Health Organisation | World Vision Uganda"
"KWANIA",3,3,3,4,3,4,3,4,2,3,"ChildFund International | UNICEF | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","ChildFund International | UNICEF | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF","ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation"
"LIRA",3,5,4,6,3,4,4,5,3,4,"Plan International Uganda | UNICEF | World Health Organisation","Living Goods | Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation","Ministry of Security | Plan International Uganda | United States Agency for International Development | World Health Organisation","Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation","Broederlijk Delen | Farm Radio International | Living Goods | Plan International Uganda | UNICEF | World Health Organisation","Living Goods | UNICEF | World Health Organisation","Farm Radio International | Living Goods | United States Agency for International Development | World Health Organisation","Farm Radio International | Living Goods | Plan International Uganda | UNICEF","Living Goods | Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation","Living Goods | UNICEF | World Health Organisation"
"OTUKE",3,4,3,4,3,3,2,4,3,3,"UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF","UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation | World Vision Uganda"
"OYAM",4,4,4,6,4,4,5,5,3,4,"Doctors with Africa CUAMM | Street Child of Uganda | UNICEF | World Health Organisation","Doctors with Africa CUAMM | UNICEF | United States Agency for International Development | World Health Organisation","Doctors with Africa CUAMM | Ministry of Security | United States Agency for International Development | World Health Organisation","Doctors with Africa CUAMM | UNICEF | United States Agency for International Development | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | Street Child of Uganda | UNICEF | World Health Organisation | World Vision Uganda","Street Child of Uganda | UNICEF | World Health Organisation | World Vision Uganda","Doctors with Africa CUAMM | Farm Radio International | United States Agency for International Development | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | Street Child of Uganda | UNICEF | World Vision Uganda","Doctors with Africa CUAMM | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","Doctors with Africa CUAMM | UNICEF | World Health Organisation"
"BUIKWE",4,5,4,6,3,4,4,6,4,3,"LifeNet International | Makerere University Walter Reed Project | Street Business School | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | Street Business School | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | Ministry of Security | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | LifeNet International | Makerere University Walter Reed Project | UNICEF | World Health Organisation | World Vision Uganda","Makerere University Walter Reed Project | World Health Organisation | World Vision Uganda","Farm Radio International | LifeNet International | Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | LifeNet International | Makerere University Walter Reed Project | World Vision Uganda","LifeNet International | Makerere University Walter Reed Project | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","LifeNet International | Makerere University Walter Reed Project | World Health Organisation | World Vision Uganda"
"BUVUMA",2,3,3,4,2,3,2,4,2,2,"Makerere University Walter Reed Project | World Health Organisation","Makerere University Walter Reed Project | United Nations Population Fund (UNFPA) | World Health Organisation","Makerere University Walter Reed Project | Ministry of Security | World Health Organisation","Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | Makerere University Walter Reed Project | UNICEF | World Health Organisation","Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | Makerere University Walter Reed Project","Makerere University Walter Reed Project | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Makerere University Walter Reed Project | World Health Organisation"
"KASSANDA",2,3,3,3,1,2,2,3,2,2,"Clinton Health Access Initiative | World Health Organisation","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Clinton Health Access Initiative | Ministry of Security | World Health Organisation","UNICEF | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | World Health Organisation","Farm Radio International | UNICEF","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","UNICEF | World Health Organisation"
"KAYUNGA",3,5,3,5,2,3,3,4,3,3,"Makerere University Walter Reed Project | Street Business School | World Health Organisation","Makerere University Walter Reed Project | Street Business School | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Makerere University Walter Reed Project | Ministry of Security | World Health Organisation","Makerere University Walter Reed Project | UNICEF | World Health Organisation","Farm Radio International | Makerere University Walter Reed Project | Restless Development Uganda | UNICEF | World Health Organisation","Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | Makerere University Walter Reed Project | UNICEF","Makerere University Walter Reed Project | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Makerere University Walter Reed Project | UNICEF | World Health Organisation"
"KIBOGA",1,2,2,4,2,2,2,4,2,1,"World Health Organisation","United Nations Population Fund (UNFPA) | World Health Organisation","Ministry of Security | World Health Organisation","World Health Organisation","Farm Radio International | UNICEF | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda","Farm Radio International | World Health Organisation","Farm Radio International | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda"
"KYANKWANZI",2,2,2,4,2,3,2,4,1,1,"ChildFund International | World Health Organisation","United Nations Population Fund (UNFPA) | World Health Organisation","Ministry of Security | World Health Organisation","World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | World Health Organisation","ChildFund International | Farm Radio International","ChildFund International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","World Health Organisation"
"LUWERO",3,4,3,4,1,3,2,4,1,2,"LifeNet International | Street Business School | World Health Organisation","LifeNet International | Street Business School | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","World Health Organisation"
"MITYANA",3,3,4,4,1,3,2,4,2,2,"Clinton Health Access Initiative | LifeNet International | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","Clinton Health Access Initiative | LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | World Health Organisation"
"MUBENDE",3,5,4,4,1,3,3,5,4,4,"Clinton Health Access Initiative | LifeNet International | World Health Organisation","Clinton Health Access Initiative | LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Clinton Health Access Initiative | LifeNet International | Ministry of Security | World Health Organisation","Clinton Health Access Initiative | LifeNet International | UNICEF | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF","Clinton Health Access Initiative | LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Clinton Health Access Initiative | LifeNet International | UNICEF | World Health Organisation"
"MUKONO",4,6,4,5,2,4,4,5,4,4,"LifeNet International | Makerere University Walter Reed Project | Street Business School | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | Street Business School | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | Ministry of Security | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | UNICEF | World Health Organisation","Farm Radio International | LifeNet International | Makerere University Walter Reed Project | UNICEF | World Health Organisation","Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | LifeNet International | Makerere University Walter Reed Project | World Health Organisation","Farm Radio International | LifeNet International | Makerere University Walter Reed Project | UNICEF","LifeNet International | Makerere University Walter Reed Project | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | UNICEF | World Health Organisation"
"NAKASEKE",2,3,3,4,1,3,2,4,2,2,"LifeNet International | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | World Health Organisation"
"NAKASONGOLA",3,4,4,4,1,3,3,4,3,4,"LifeNet International | Makerere University Walter Reed Project | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | Ministry of Security | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | UNICEF | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | UNICEF | World Health Organisation"
"BUKOMANSIMBI",2,3,3,4,1,3,2,5,2,2,"LifeNet International | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","Korea Foundation for International Healthcare(KOFIH) | LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | World Health Organisation"
"BUTAMBALA",2,3,3,4,2,3,2,4,2,2,"LifeNet International | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation | World Vision Uganda","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | World Health Organisation"
"GOMBA",1,2,2,3,1,2,1,3,1,1,"World Health Organisation","United Nations Population Fund (UNFPA) | World Health Organisation","Ministry of Security | World Health Organisation","World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | World Health Organisation","Farm Radio International","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","World Health Organisation"
"KALANGALA",1,3,2,3,2,2,2,3,2,2,"World Health Organisation","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Ministry of Security | World Health Organisation","UNICEF | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","UNICEF | World Health Organisation","Farm Radio International | World Health Organisation","Farm Radio International | UNICEF","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","UNICEF | World Health Organisation"
"KALUNGU",1,2,2,3,1,2,1,3,1,1,"World Health Organisation","United Nations Population Fund (UNFPA) | World Health Organisation","Ministry of Security | World Health Organisation","World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | World Health Organisation","Farm Radio International","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","World Health Organisation"
"KYOTERA",2,3,3,4,1,3,2,4,2,2,"LifeNet International | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | World Health Organisation"
"LWENGO",3,3,3,4,1,3,2,4,2,2,"Clinton Health Access Initiative | LifeNet International | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | World Health Organisation"
"LYANTONDE",2,2,2,4,2,2,2,3,1,1,"Street Child of Uganda | World Health Organisation","United Nations Population Fund (UNFPA) | World Health Organisation","Ministry of Security | World Health Organisation","World Health Organisation","Farm Radio International | Street Child of Uganda | UNICEF | World Health Organisation","Street Child of Uganda | World Health Organisation","Farm Radio International | World Health Organisation","Farm Radio International | Street Child of Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","World Health Organisation"
"MASAKA",5,5,3,5,2,4,4,6,4,3,"Clinton Health Access Initiative | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Living Goods | World Health Organisation","LifeNet International | Living Goods | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | UNICEF | World Health Organisation","Farm Radio International | LifeNet International | Living Goods | UNICEF | World Health Organisation","Living Goods | World Health Organisation","Farm Radio International | LifeNet International | Living Goods | World Health Organisation","Farm Radio International | LifeNet International | Living Goods | UNICEF","Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Living Goods | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Living Goods | UNICEF | World Health Organisation"
"MPIGI",3,4,3,5,3,3,4,5,4,3,"LifeNet International | Street Business School | World Health Organisation","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | UNICEF | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation | World Vision Uganda","UNICEF | World Health Organisation | World Vision Uganda","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Vision Uganda","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","LifeNet International | UNICEF | World Health Organisation | World Vision Uganda"
"RAKAI",3,3,3,5,2,3,3,5,3,2,"LifeNet International | Tackling Deadly Diseases in Africa Programme (TDDAP) | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | World Vision Uganda","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","LifeNet International | World Health Organisation | World Vision Uganda"
"SSEMBABULE",2,3,3,4,1,3,2,4,2,2,"LifeNet International | World Health Organisation","LifeNet International | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | World Health Organisation","Farm Radio International | LifeNet International","LifeNet International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | World Health Organisation"
"WAKISO",6,7,3,7,5,5,5,7,5,3,"ChildFund International | LifeNet International | Living Goods | Street Business School | Tackling Deadly Diseases in Africa Programme (TDDAP) | World Health Organisation","LifeNet International | Living Goods | Save the Children International | Street Business School | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Ministry of Security | World Health Organisation","LifeNet International | UNICEF | World Health Organisation","ChildFund International | Farm Radio International | LifeNet International | Living Goods | Save the Children International | UNICEF | World Health Organisation","ChildFund International | Living Goods | Save the Children International | UNICEF | World Health Organisation","ChildFund International | Farm Radio International | LifeNet International | Living Goods | World Health Organisation","ChildFund International | Farm Radio International | LifeNet International | Living Goods | UNICEF","ChildFund International | LifeNet International | Living Goods | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","LifeNet International | Living Goods | Save the Children International | UNICEF | World Health Organisation"
"AMURIA",6,5,4,9,5,5,6,9,4,2,"ChildFund International | Finnish Mission Uganda / Fida International | Trocaire | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation","Finnish Mission Uganda / Fida International | United Nations Population Fund (UNFPA) | United States Agency for International Development | Welthungerhilfe | World Health Organisation","Finnish Mission Uganda / Fida International | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Finnish Mission Uganda / Fida International | Trocaire | UNICEF | United Nations Population Fund (UNFPA) | Welthungerhilfe | World Health Organisation | World Vision Uganda","ChildFund International | Finnish Mission Uganda / Fida International | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Finnish Mission Uganda / Fida International | Trocaire | Welthungerhilfe | World Vision Uganda","ChildFund International | Finnish Mission Uganda / Fida International | Trocaire | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | Welthungerhilfe | World Health Organisation | World Vision Uganda","Trocaire | UNICEF | World Health Organisation | World Vision Uganda"
"BUKEDEA",3,2,3,5,2,3,3,4,3,2,"Street Child of Uganda | Trocaire | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | Street Child of Uganda | Trocaire | UNICEF | World Health Organisation","Street Child of Uganda | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | Street Child of Uganda | Trocaire","Trocaire | UNICEF | United States Agency for International Development | World Health Organisation","Trocaire | UNICEF | World Health Organisation"
"KABERAMAIDO",3,3,3,5,3,5,2,5,2,2,"ChildFund International | United Nations Population Fund (UNFPA) | World Health Organisation","United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","ChildFund International | United Nations Population Fund (UNFPA) | World Health Organisation","ChildFund International | Farm Radio International | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","ChildFund International | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation"
"KALAKI",2,2,3,4,1,3,2,4,3,2,"Trocaire | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | Trocaire | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | Trocaire","Trocaire | UNICEF | United States Agency for International Development | World Health Organisation","Trocaire | UNICEF | World Health Organisation"
"KAPELEBYONG",2,3,3,6,3,4,4,6,3,2,"ChildFund International | World Health Organisation","Self Help Africa | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Self Help Africa | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Self Help Africa | World Vision Uganda","ChildFund International | Self Help Africa | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","UNICEF | World Health Organisation | World Vision Uganda"
"KATAKWI",4,3,3,6,2,4,4,6,3,2,"ChildFund International | Trocaire | Welthungerhilfe | World Health Organisation","United States Agency for International Development | Welthungerhilfe | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Trocaire | UNICEF | Welthungerhilfe | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Trocaire | Welthungerhilfe","ChildFund International | Trocaire | UNICEF | United States Agency for International Development | Welthungerhilfe | World Health Organisation","Trocaire | UNICEF | World Health Organisation"
"KUMI",1,2,3,3,1,3,1,3,2,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation"
"NGORA",1,2,3,3,1,3,1,3,2,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation"
"SERERE",2,2,3,4,2,4,2,4,2,2,"ChildFund International | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation"
"SOROTI",3,2,3,6,3,4,3,5,3,2,"ChildFund International | Living Goods | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Finnish Mission Uganda / Fida International | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | World Vision Uganda","ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","UNICEF | World Health Organisation | World Vision Uganda"
